Title,Text
McAskie urges new political leaders to negotiate peace with FNL rebels,"The head of the UN Mission in Burundi, Carolyn McAskie, called on politicians on Monday to negotiate a ceasefire with the country's remaining rebel group, the Palipehutu-FNL of Agaton Rwasa, ir order to finalise the current peace process. McAskie was speaking in Bujumbura, the capital, during the last review of the transitional government and parliament, by the Implementation and Monitoring Committee of the Arusha Peace and Reconciliation Agreement for Burundi, which she chairs. The FNL is not among the 19 parties to the accord and has recently expanded its armed operations outside Bujumbura Rural Province. She, who is also the Special Representative of UN Secretary-General to Burundi, called on the FNL to engage in sincere negotiations for a permanent and lasting ceasefire. She told politicians that the peace process should continue beyond elections and that the new government should finalise reforms in the security services, on land issues as well as undertake refugee repatriation."
Germany gives $61.7m for development projects,"Kenya is to receive 50 million Euros (US $61.7 million) to promote agriculture, water and the health sector from the German government following an agreement signed on Tuesday by Chancellor Gerhard Schroeder and President Mwai Kibaki in the capital, Nairobi. The funds will be disbursed in the form of technical cooperation grants and low-interest loans over the next two years. Schroeder, who is on an official visit to Kenya, told journalists in Nairobi that his government was keen to intensify cooperation with Kenya following the country's peaceful political transition in December 2002. This is Germany's first major financial support to Kenya since bilateral relations between the two countries declined in 1992, after Germany cited deficiencies in good governance on the part of the Kenyan authorities. Schroeder hailed Kenya's political and economic reform efforts, and pledged his government's support to the country's ongoing economic reconstruction. ""We welcome the important step taken by the Kenyan government in the field of primary education and the fight against corruption,"" Schroeder said. He also recognised recent efforts by the Kenyan government to promote regional peace, notably in Somalia and Sudan as well as fighting international terrorism. ""Germany will make available its knowledge and means to help the regional fight against terrorism and organised crime,"" Schroeder said. The German leader's visit is part of a four-nation African tour that also takes him to Ethiopia, South Africa and Ghana."
Germany's Herero reconciliation efforts rebuffed,"The signing of an agreement between the Namibian and German governments concerning reparations for colonial rule is on hold until the various communities who suffered during that era have been consulted. The deal would have brought Euro 20 million (US $23.5 million) into development projects in the southern African country. President Hifikepunye Pohamba, who ended a five-day state visit to Germany on Friday, told Germany's development cooperation minister, Heidemarie Wieczorek-Zeul, earlier this week that the agreement could not be finalised until the affected Herero, Nama and Damara groups were consulted. Neither side explained why consultations with these groups had not taken place prior to the meeting in Berlin. ""I regret this, because the content of the agreement was known to the Namibian government and they agreed to it,"" Wieczorek-Zeul told reporters. The agreement would have pumped money into development projects aimed at benefiting the affected groups between 2006 and 2016. Wieczorek-Zeul made history last year when he asked for ""forgiveness"" for colonial atrocities committed a century ago against Herero-speaking Namibians as well as the Nama- and Damara-speaking tribes. In Namibia the ""Herero Genocide Committee 1904"" lambasted the German government on Thursday for proposing a reconciliation initiative without extensive consultations. Edwin Kanguatjivi, spokesperson for the committee, told reporters the German government had not embarked on a dialogue with them since the Wieczorek-Zeul apology in August 2004. ""The Herero people shall not be fooled by hypocritical apologies, nor shall they allow their leaders to be treated as minors,"" said Kanguatjivi. In September 2001 the Herero filed a civil claim in the district court of Columbia in the United States demanding $2 billion from the German government for atrocities committed during colonial rule. The lawsuit lodged by the Herero People's Reparation Corporation also seeks $2 billion from three German companies - Deutsche Bank; mining company Terex Corporation, formerly Orenstein-Koppel Co.; and the shipping company, Deutsche Afrika Linie, formerly Woermann Linie. The district court of Columbia was chosen for the lawsuit because a 216-year-old American law, the Alien Tort Claims Act of 1789, allows such civil action to be taken. Germany and Namibia will discuss the extension of bilateral development cooperation for 2006 and 2007 next week in the capital, Windhoek. President Hifikepunye Pohamba, who ended a five-day state visit to Germany on Friday, told Germany's development cooperation minister, Heidemarie Wieczorek-Zeul, earlier this week that the agreement could not be finalised until the affected Herero, Nama and Damara groups were consulted. Neither side explained why consultations with these groups had not taken place prior to the meeting in Berlin. ""I regret this, because the content of the agreement was known to the Namibian government and they agreed to it,"" Wieczorek-Zeul told reporters. The agreement would have pumped money into development projects aimed at benefiting the affected groups between 2006 and 2016. Wieczorek-Zeul made history last year when he asked for ""forgiveness"" for colonial atrocities committed a century ago against Herero-speaking Namibians as well as the Nama- and Damara-speaking tribes. In Namibia the ""Herero Genocide Committee 1904"" lambasted the German government on Thursday for proposing a reconciliation initiative without extensive consultations. Edwin Kanguatjivi, spokesperson for the committee, told reporters the German government had not embarked on a dialogue with them since the Wieczorek-Zeul apology in August 2004. ""The Herero people shall not be fooled by hypocritical apologies, nor shall they allow their leaders to be treated as minors,"" said Kanguatjivi. In September 2001 the Herero filed a civil claim in the district court of Columbia in the United States demanding $2 billion from the German government for atrocities committed during colonial rule. The lawsuit lodged by the Herero People's Reparation Corporation also seeks $2 billion from three German companies - Deutsche Bank; mining company Terex Corporation, formerly Orenstein-Koppel Co.; and the shipping company, Deutsche Afrika Linie, formerly Woermann Linie. The district court of Columbia was chosen for the lawsuit because a 216-year-old American law, the Alien Tort Claims Act of 1789, allows such civil action to be taken. Germany and Namibia will discuss the extension of bilateral development cooperation for 2006 and 2007 next week in the capital, Windhoek."
Increased AIDS support promised by Germany,"Germany has announced plans to boost programmes aimed at tackling HIV/AIDS in developing countries. According to German Development Minister Heidemarie Wieczorek-Zeul, her country was committed to the Millennium Development Goal of curbing the spread of HIV by 2015 and anti-AIDS programmes were already showing results in several regions. Germany's Deutsche Welle news service quoted Wieczorek-Zeul as saying: ""With treatment, lives are being prolonged, so that children have their parents with them for longer and HIV-positive people can lead longer, fuller lives."" The country is the third largest anti-AIDS donor, after the USA and UK, and currently contributes more than $387 million annually."
British millions pledged for AIDS battle,"Britain's international development secretary Hilary Benn has announced funding of close to US $214 million over the next four years to tackle HIV/AIDS around the world. The new funding will also aim to improve sexual and reproductive health for women and young people in developing countries. The UK's Press Association quoted Benn as saying: ""Sexual and reproductive health and AIDS are inextricably linked. By taking on one, we know we are also helping to tackle the other. Far too many poor women in developing countries live with painful, disabling, and hidden injuries or illness because they are denied their rights to sexual and reproductive health."" Approximately $66 million of the funds go to UNAIDS to pay for its role in leading the global HIV/AIDS effort and coordinating international donations, while some $147 million has been allocated to the UN Population Fund over four years."
IMF negotiations continue,"The International Monetary Fund (IMF) is to continue negotiations with the Zimbabwean government on economic reforms to get the country back on track. IMF spokeswoman Gita Bhatt told IRIN on Tuesday that the Fund's mission to Zimbabwe had been extended, and that ""the team is likely to stay on until Friday in order to finish a report to management ahead of the board meeting on 9 September"". Zimbabwe was suspended from the IMF and faces expulsion for non-payment of arrears when the executive board meets. Bhatt said the staff mission currently in Harare would ""update information on recent economic developments, as well as on policy initiatives that the authorities plan to implement in the period ahead"". Zimbabwe has been in continuous arrears to the Fund since February 2001, and about US $295 million was outstanding at 22 August. The IMF's executive board extended a lifeline on 16 February this year, when it postponed its deliberations on Zimbabwe's ""compulsory withdrawal"" from the Fund for six months. However, to unlock potential foreign aid the country had to strengthen its cooperation with the IMF - something that had yet to happen, said Zimbabwean economist John Robertson. ""The IMF is clearly looking to persuade the country to adopt policies that will allow Zimbabwe to pay its arrears - it has got to recover the ability to earn foreign currency. The IMF cannot lend to any country that shows the lack of ability to repay the money,"" Robertson pointed out. ""The policies that have got us into the difficulties we now face; policies that have destroyed our ability to earn foreign currency - such as the [fast-track] land redistribution programme that wiped out the tobacco and beef export industries - are the things the IMF want to see us fix before they lend us any more money,"" he explained. After a staff team visited Zimbabwe in June, the IMF noted that ""the magnitude of the economic problems confronting Zimbabwe calls for a comprehensive policy package that should include decisive action to lower the fiscal deficit, a tightening of monetary policy, and steps to establish a unified, market-determined exchange rate. The package should also include structural reforms, such as the removal of administrative controls, to ease shortages and restore private-sector confidence"". Although the Fund stipulated that ""a rebuilding of relations with the international community"" was a critical part of the effort to reverse the economic decline, Robertson noted that the government appeared to be moving towards a more ""isolationist policy"", which could see its international relations deteriorate."
China donates US $4 million equipment,"The People's Republic of China has donated equipment worth US $4 million to the Central African Republic (CAR), state-owned Radio Centrafrique reported on Tuesday. Chinese Ambassador El Si Ji made the donation, comprising 20,000 corrugated iron sheets, 110 computers, 3,000 bicycles and 60 mt of office furniture, on behalf of his government during a ceremony on Monday in the capital, Bangui. The iron sheets will be used to rebuild military barracks while the CAR transitional government will use the computers, bicycles and office furniture during general elections planned for early 2005. ""China is following closely the development of the transition in CAR and rejoices that encouraging results are being obtained,"" El Si Ji, was quoted as saying. He added that China would continue to support CAR during its transition. The minister for international cooperation, Daniel Nditifei-Boissembe, received the donation on behalf of the CAR government. ""CAR has experienced hardships and it will remain grateful to China for its constant material and financial assistance,"" he said. China was the first country to assist CAR following a 15 March 2003 coup by former armed forces chief of staff, Francois Bozize, who overthrew President Ange-Felix Patasse after a six-month rebellion. On 11 March 2004, China granted the CAR a $ 2-million interest-free loan to help the government pay salary arrears owed to civil servants."
Germany grants Bujumbura 9.5 million euros to fight poverty,"Germany has granted Burundi 9.5 million euros (US $11.1 million) for a one-year programme aimed at reducing poverty across the country by providing safe drinking water, fighting HIV/AIDS and promoting peace and reconciliation, a German government official said on Wednesday in Berlin. The spokeswoman at the German Ministry of Economic Cooperation and Development, Barbara Wieland, said the grant would cover the period from December 2005 to December 2006 and would prioritise water projects. She said Germany would support reforms in Burundi's judiciary, conflict prevention and human rights programmes in an effort to promote peace and reconciliation in the country that is recovering from 12 years of civil war. ""The [grant] renewal for 2007 can be negotiated in 2006,"" Wieland said. She added that Wednesday's grant would be disbursed in phases, with the first phase paid in December. The latest grant follows another of 17 million euros ($19.9 million) Germany gave Burundi in November when it officially resumed cooperation with the central African nation. The grants follow positive political developments in Burundi. In September, the country completed its transition to democracy with the election of a new president, Pierre Nkurunziza, whose policies have been widely welcomed by Burundi's development partners. Germany had suspended its cooperation with Burundi in 1993 following the outbreak of civil war. ""Nkurunziza has sent all the positive signals that the donors were expecting from him including a free and fair election, his woman-friendly government and his priorities policies of education and reconciliation"", Amadeu Altafaj, the EU spokesman told IRIN on Tuesday from Brussels, where Nkurunziza was on a four-day official visit."
Top rebel negotiator surrenders to government,"The principal negotiator for the rebel Lord's Resistance Army (LRA) in protracted talks with the Ugandan government, Sam Kolo, gave himself up on Wednesday, an army spokesman said. ""He has surrendered and our commanders evacuated him,"" Maj Shaban Bantariza, the spokesman for the Ugandan army, told IRIN. According to Bantariza, Kolo's surrender came as a result of a disagreement with the head of the LRA, Joseph Kony, who subsequently issued an order for his execution. ""He had no choice because Kony had ordered for his execution for defying orders to get out of northern Uganda and return to Sudan,"" Bantariza said on Thursday. The LRA's chief spokesman since 1999, Kolo, a Brigadier in the rebel ranks, became the highest-ranking LRA rebel commander to give himself up to the Uganda People's Defence Force (UPDF). At least three other LRA commanders have surrendered or been captured by government forces over the year. Kolo had been a member of the LRA for several years, waging war in northern Uganda in a bid to overthrow the government of Yoweri Museveni, ostensibly to replace it with a government based on the biblical Ten Commandments. Hesitant to talk about the implications of Kolo's surrender for the ongoing talks, Betty Bigombe, the chief mediator, told IRIN: ""The final objective is to end the war - it will take us time to know how this will affect the peace process, but of course it is a setback."" Bigombe said she had received a phone call from Vincent Otti, Kony's deputy, telling her that he would replace Kolo as the LRA's chief negotiator. The head of the government team to the peace talks, who is also the Ugandan internal affairs minister, Ruhakana Rugunda, told IRIN that he was confident Kolo's surrender would not affect the peace process. ""Kolo's surrender will not affect the fact that the door for negotiations for peace will still be open,"" Rugunda said. Religious leaders from northern Uganda, who have been at the forefront of the peace talks, said they were concerned about the fate of the negotiations following Kolo's surrender. ""His surrender leaves a situation of uncertainty as to what will be the future of the peace process,"" John Baptist Odama, Catholic Archbishop of Northern Uganda, told IRIN on Wednesday. The government and the LRA have fought a 19-year-old war, but since last December, have been involved in intense negotiations to find a peaceful solution to the conflict. The LRA, notorious for their brutality, have abducted as many as 20,000 children to serve as soldiers or sex slaves of the commanders. The northern conflict has seen tens of thousands killed and an estimated 1.6 million people displaced from their homes. On Tuesday, the Ugandan defence minister, Amama Mbabazi, said the LRA, which once had thousands of fighters in its ranks, had been reduced to a meagre force of 300 to 400 fighters and predicted ""certain victory"" for the UPDF."
Cabinda separatists merge to negotiate with government,"Separatists waging a low-intensity struggle against Angolan troops for control of oil-rich Cabinda have merged in a bid to engage the authorities in dialogue over the future status of the troubled province. The Front for the Liberation of the Cabinda Enclave (FLEC) and the Front for the Liberation of the Cabinda Enclave-Cabinda Armed Forces (FLEC-FAC) would now be known as FLEC. The leadership of the new organisation would be drawn from members of the two former rebel groups, a senior rebel leader told IRIN on Wednesday. The two factions have been battling the central Angolan government since the country achieved independence in 1975. They claim the province has its own distinct and separate identity, history and culture, and that it was illegally occupied. ""Our decision to merge was based on a request from ordinary Cabindans, civil society and the church. They made it clear that it would be preferable to negotiate with the government under a single banner,"" FLEC politburo member, Antonio Mbemba, told IRIN on Wednesday. ""Our first step is to set up a commission that will decide how to approach the government in Luanda [the Angolan capital]. The government has claimed that because of the fragmentation, there was no valid interlocutor with which it could negotiate. But now they have no excuse,"" he added. Discussions between the government and leaders of FLEC's various factions have so far been limited, and without tangible results. ""The last time we had any contact was in Paris in 2003 and these were merely exploratory talks,"" Mbemba pointed out. Despite the defection of several key officials to Angola's ruling MPLA last year, he said FLEC remained ""strong and committed"" to fighting for the self-determination of the people of Cabinda. Father Raul Tati, a leading cleric and civil rights activist in the province, told IRIN he hoped the merger would signal to the authorities that the separatists were serious about negotiations. Sporadic clashes between the rebels and Angolan armed forces in the countryside over the past two years have caught the attention of the international community. On a recent visit to the province, the UN Special Representative for Human Rights Defenders, Hina Jilani, raised concern over the high number of government troops in the enclave, commenting that human rights violations continued to occur because of the close proximity of the military to civilian populations. An ad-hoc commission for human rights in Cabinda published a report in November last year detailing accounts of violence, abuse, torture, summary killings, rape and illegal detentions against the civilian population."
"Negotiations to allow observers at final vote count ""positive""","The European Union (EU) on Tuesday said negotiations with Mozambique's electoral commission to open up the one remaining part of the counting process in upcoming general elections to observers were progressing well. An EU official told IRIN the talks were ""positive"" and were moving in the ""right direction"". ""We have been engaged in ongoing dialogue with the electoral commission and we expect a resolution,"" he said. While election monitors may be present at counting stations at the local level, they are excluded from the final provincial and national stages of the count. The final tabulation is seen as crucial, because itis at this stage that spoiled ballot papers are considered, and both provincial and national elections commissions make decisions about polling station results sheets. According to the National Election Commission (CNE) the country's electoral laws prohibits the inclusion of monitors during the final deliberations, but analysts point out that the electoral law does not mention the issue. CNE spokesman Felipe Mandlate said: ""We cannot ignore electoral laws and we expect international observers and the press to respect these."" In a statement on Friday the EU urged the CNE to allow observers access to ""all relevant stages of the election process, including tabulating results at all levels"". ""It is essential that the mission is allowed to carry out its mandate, in line with international standards and practice in this field,"" said EU External Relations Commissioner Chris Patten, adding that he trusted the issue could be resolved in time for the 1-2 December poll."
France loans Bangui US $1.3 million,"France will loan the Central African Republic (CAR) US $1.3 million, French President Jacques Chirac's special adviser on African affairs, Michel de Bonnecorse, announced on Sunday. State-owned Radio Centrafrique reported that De Bonnecorse made the announcement at the end of a two-day visit to Bangui, the CAR capital, where he held talks with senior government officials including CAR leader Francois Bozize. The radio quoted De Bonnecorse as saying that the loan was part of France's efforts to see the CAR through its transitional period, scheduled to end in early 2005 with the holding of democratic elections. ""Of course, one million three hundred dollars is not a big amount, I'm sure the Finance Minister had hoped for a greater amount, but it is a heartfelt gift,"" De Bonnecorse was quoted as saying. ""It is ready money immediately distributed in the economic circuit."" The French loan follows a $2-million interest-free loan granted to the CAR by China on 11 March. It also came just as the CAR completed paying November 2003 salaries for civil servants. The government has promised to begin paying December salaries from Monday."
Taiwanese aid flows in after links with China cut,"Burkina Faso continues to reap the financial rewards of cutting diplomatic relations with China 10 years ago in order to establish links with Taiwan instead. The two countries signed an agreement on Thursday that provides for Taiwan to grant the West African country nearly US$14 million for water supply, irrigation and rural development projects over the next three years. Most of the money will be used to sink 1,000 boreholes to provide clean drinking water in villages and build 25 reservoirs to improve irrigation in rural areas. The remainder will be used to improve the roads in five provincial towns. Burkina Faso broke off diplomatic relations with China in 1994 and established formal ties with Taiwan instead. Since then it has received a steady flow of aid from the island state, which China regards as a renegade province of its own territory. The latest $14 million aid agreement on Thursday represents the first tranche of a $32.5 million Taiwanese aid package agreed last year to cover the period 2004-2006."
Negotiations needed to avoid war in the east - ICG,"Negotiations are needed immediately to address a simmering conflict in eastern Sudan and avoid the outbreak of a new regional war, according to the International Crisis Group (ICG). In a report, ""Sudan: Saving the Peace in the East"", the advocacy organisation said that if the Sudan People’s Liberation Movement (SPLM) - now part of the Sudanese government - went ahead with a troop withdrawal scheduled in the east, the low-intensity conflict there risked becoming a major new war with disastrous humanitarian consequences. The troop withdrawal is part of a Comprehensive Peace Agreement, or “CPA”, signed by Sudan’s ruling National Congress Party and the then rebel SPLM almost a year ago. The agreement ended a 21 year civil war in southern Sudan, but did not address the political and economic grievances of rebel groups in either eastern Sudan or the Sudanese western region of Darfur. ""Like Darfur, we have a peace agreement which falls short of providing fair wealth and power-sharing to other areas in northern Sudan,"" said David Mozersky, senior Sudan analyst for the ICG, at a press briefing in Nairobi on Thursday. Under the terms of the agreement, the SPLM is obliged to withdraw its forces from eastern Sudan by 9 January 2006. Mozersky said the SPLM was far behind schedule, expecting to withdraw 50 percent of its forces from the east by the end of March, and complete the pull-out only in October 2006. ""Given that SPLM was much more implicated [in the war] in the east than it was in Darfur, a new conflict there has the potential to unravel the CPA and draw the SPLM back into the conflict,"" Mozersky warned. According to the ICG’s new report, the SPLM ""has a duty to ensure that its withdrawal from eastern Sudan does not create a security vacuum that could invite escalation."" The main concern, Mozersky said, was how the rest of the Sudanese government would react to the SPLM pull-out, and to the possibility of more rebel attacks. ""Will they target civilians? The government has shown such viciousness in Darfur, in the Nuba Mountains and in the south, that you have to expect the worst,"" Mozersky said. Eastern Sudan is a strategic region, including Sudan’s economic lifeline to the outside world, Port Sudan, and its oil pipeline, as well as irrigated agricultural schemes and a long border with Eritrea, with whom Sudan has poor relations. The Sudanese government has a heavy security presence in the east, involving, according to ICG, three times as many forces as in the troubled region of Darfur. The rebel Eastern Front is an alliance between two rebel movements, the Beja Congress and a smaller group, the Rashaida Free Lions. It has been active in an impoverished region near the Eritrean border, but fighting is sporadic and on a small scale. ""It is unclear whether the rebels can do much more than small hit-and-run attacks, especially as the SPLM provided the bulk of the forces in the east,” Mozersky said…”But they can do substantial damage to the port, the oil pipeline and other vital infrastructure."" The SPLM needed to use its leverage as a member of the government of national unity, to start comprehensive negotiations, the ICG report stated. The international community needed to work closely with key regional actors, particularly Eritrea. The ICG also said significant donor attention and resources were needed in eastern Sudan to reverse crude mortality rates and malnutrition levels that were even higher than in Darfur. The eastern rebels accuse the government of marginalising remote regions of the country like their own. They see the year-old peace agreement between the government and the SPLM as a model for a political settlement for their own region. In a flare-up of violence in January 2005, Sudanese security forces crushed a demonstration of local Beja people in Port Sudan, killing over 20 people and wounding hundreds. More than 150 members of a political movement, the Beja Congress, were detained. Mozersky said many Beja youths had joined the movement after this, and that the Beja Congress was now mobilised in a way it had not been in the past. Originally a nomadic people, many Beja live in extensive shantytowns on the outskirts of Port Sudan. They moved to the port to work as labourers in the 1980s, after a famine killed their cattle and mechanised farming took over their land."
France tinkers with its African troop deployment,"Adjusting to new realities on the ground, France plans to re-deploy its thousands of African-based troops in a scheme it says will bolster the continent's own home-grown peacekeeping forces. The French Defence Ministry said this month it would reshuffle the deployment of some 7,000 soldiers to fit in with the way the African Union (AU) has divided up the continent into geographical zones. ""This is a very important shift which corresponds to changes made by the Africans themselves, since the AU intends to organise itself into sub-regions,"" defence spokesman Jean-Francois Bureau told a press conference in Paris. However, some analysts say that while the shift may deflect charges of neo-colonialism, France still has a long way to go before relinquishing a military toehold in Africa. ""France would never have been a big power in 1960 if it hadn't been for its presence in Africa,"" said Jean-Pierre Dozon, research director at the Ecole des Hautes Etudes en Sciences Sociales (EHESS) in Paris, referring to the year that saw colonies wrest their independence from France. With French economic and military presence strong to this day across the continent, Paris, which has one of the five permanent seats on the Security Council, can traditionally count on a block of supporting votes at the United Nations. But in recent years domestic distaste has risen over their presence in Africa, and military costs have grown as more French troops have been deployed to places like the Balkans. In response, successive governments have cut back military contingents in Africa by a third in the last decade and soldiers are rotated more quickly than in the past. Even today, more than 40 years after the independence struggles, losing influence in Africa means losing leverage on the world stage, according to Antoine Glaser, editor of the confidential Paris-based newsletter on Africa, La Lettre du Continent. But France can no longer afford the presence it once enjoyed, he said. Cote d'Ivoire stirs bad memories With an annual price tag almost 200 million euros ($240 million), most of it shouldered by the French taxpayer, the former colonial power's operations in warring Cote d'Ivoire -- where some 4,000 troops work alongside UN peacekeepers -- have highlighted the financial burden of keeping a strong military presence in Africa. ""The proposed changes are meant to bring about substantial savings,"" Glaser said. 
[Cote d'Ivoire] A Gbagbo supporter holds a placard reading ""Death to Chirac now"" durign a rally in June 2004.
""Death to Chirac"" reads a sign at a rally in Cote d'Ivoire
According to the authorities, the upcoming realignment is geared at boosting cooperation with the AU, which hopes to set up an African Standby Force (ASF) of up to 25,000 men able to carry out peacekeeping missions by 2010. The ASF would consist of five brigades, one for each sub-region, and would include police and civilian elements. Recent events on the ground may also explain why France seems keen to disengage, analysts say. The most serious incident occurred last November when French troops in Cote d'Ivoire were briefly dragged into the war there after coming under attack from government troops. When nine of its peacekeepers were killed, France took out virtually the entire Ivorian air force but then had to rescue and help evacuate thousands of French nationals forced to flee ensuing anti-foreigner violence. The troubles in Cote d'Ivoire stirred up painful memories of civilian evacuations from Algeria more than 40 years ago, EHESS research director Dozon told IRIN. ""The first instinct for the average French person was to ask 'What are we doing over there?'"" he said. ""People didn't want to relive that in 2004."" More generally, African populations, especially young people, have an increasingly negative view of any French military presence in their countries, according to Gilles Yabi, a West Africa analyst with the international think tank, Crisis Group. ""As long as there are permanent bases, the suspicion will be there that these troops serve to prop up administrations, which are friendly to the French but which are not necessarily democratic,"" Yabi told IRIN from his office in Dakar. But even with the reshuffle, France is still the only former colonial power to have maintained permanent bases in Africa. Analysts say this means France will remain uniquely qualified to supply rapid response support on a continent which, despite providing about 30 percent of UN forces worldwide, can still benefit from some peacekeeping know-how. ""AU forces still don't have all the necessary skills and resources to carry out difficult missions,"" Yabi said. ""They need training and logistical support."" Ideal provider? Outside intervention can provide key resources for non-UN peacekeeping missions, according to Mark Malan, head of research at the Kofi Annan International Peacekeeping Training Centre, which was opened in Accra in 2004 to increase the sub-region's ability to handle conflicts. He pointed to Burundi, Liberia and Cote-d'Ivoire as examples of hotspots where a foreign power -- South Africa, the United States and France respectively -- played an essential role before the UN became involved. ""But who the ideal provider is? That's debatable,"" he told IRIN. Dozon of the EHESS said the way forward was for the European Union to take over from France. He welcomed talk from the French of ""Europeanising"" bases by encouraging a greater presence of EU military personnel and non-governmental organisations. By pooling resources with the EU, France would be able to save money and defend itself better against charges of neo-colonialism, he said. 
[Senegal] Senegalese President Abdoulaye Wade and President Chirac.
French President Jacques Chirac and his Senegalese counterpart Abdoulaye Wade
Under the French plan, to be unveiled at December's Franco-African summit in Bamako, troops currently based in five French-speaking countries -- Cote d'Ivoire, Senegal, Gabon, Chad and Djibouti -- would be regrouped into three African bases that conform with three AU sub-regions, Senegal for West Africa, Gabon for Central Africa and Djibouti for Eastern Africa. Soldiers stationed on the French island of Reunion, which lies in the Indian Ocean, would be lined up to work with the Southern Africa sub-region. Thus troops currently based in Chad would operate out of Gabon and those serving alongside UN peacekeepers in Cote d'Ivoire would be withdrawn to Senegal once peace has returned. French officials said the number of troops on the ground and existing defence agreements with individual countries would not be affected. But Glaser, the editor of the Africa newsletter, said France was not relinquishing an inch of power. ""It's a change in political rhetoric but, for the time being, it doesn't change a thing on the ground,"" he said. ""French President Jacques Chirac will continue to decide all alone on whether or not France intervenes in a given country."""
Expectation of aid as president visits France,"A stronger flow of development aid from France to the Comoros is anticipated as the coup-prone Indian Ocean island settles down after years of political instability. President Azali Assoumani arrived in Paris on Monday on the first official visit by a Comoran leader since the country's independence in 1975. His tour is expected to mend relations between the island nation and the former colonial power, which cooled in 1999, the year Assoumani came to power in one of the islands' numerous coups. Since then the archipelago has held presidential and legislative elections, leading to the establishment of a federal government of the Union of the Comoros in 2004. ""The political situation has improved considerably, and now it is time for economic recovery. France is willing to help the Comoros become integrated into international activities because the political climate is good,"" a senior French diplomat in the Comoran capital, Moroni, told IRIN. French aid to the Comoros plunged from US $19.5 million to around $5.2 million per year after Assoumani took power. ""The lack of aid has meant that many sectors have suffered. Public health services are especially in need of much assistance, and government is intending to use any additional aid to improve this sector,"" said Bacar Salim, the Comoran charge d'affaires in South Africa. Salim noted that Azali's visit was part of a broader government campaign to encourage international donors and investors to return to the island country. ""Access to credit from the International Monetary Fund and other organisations has been very limited and, now that our constitutional problems are over, we are looking to hold a donors' conference towards the end of the year,"" he explained. France has said that it was still unclear by how much aid would be increased, adding that its contribution would complement the existing efforts of NGOs and other development agencies."
